TEAM,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,GA/G,W,L,OTL,SA,GA,PTS%
Edmonton Oilers,82,2.82,398,629,56,14.5,13,2293,10.1,1203,82.6,2.81,36,35,0,2248,230,0.43902439
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,2.76,365,591,64,17.3,8,2163,10.4,1253,81.7,3.46,31,44,0,2593,284,0.37804878
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.73,388,612,58,15.1,12,2427,9.2,1244,83.5,2.82,35,36,0,2318,231,0.426829268
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,2.73,399,623,57,17.2,8,2223,10.1,1268,81.3,2.68,39,35,0,2454,220,0.475609756
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.67,388,607,70,17.9,6,2395,9.1,1079,82.6,2.56,36,30,0,2298,210,0.43902439
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.63,368,584,36,11.9,7,2601,8.3,938,87.9,2.02,46,26,0,1933,166,0.56097561
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,2.61,368,582,68,18.1,5,2303,9.3,1112,81,2.92,28,45,0,2392,239,0.341463415
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,2.6,362,575,71,17.3,12,2143,9.9,1505,85.3,3.21,29,45,0,2641,263,0.353658537
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,2.57,345,556,47,14.3,8,2537,8.3,1003,85.2,2.02,45,24,0,2019,166,0.548780488
,,,,,,,,,,,,,,,,,,
New York Rangers,82,2.56,342,552,55,16.2,8,2465,8.5,1306,81.2,2.82,32,40,0,2426,231,0.390243902
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,2.52,349,556,39,12.7,8,2279,9.1,1189,84.8,2.76,30,39,0,2345,226,0.365853659
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.51,347,553,44,14,2,2119,9.7,900,81.7,2.85,30,44,0,2678,234,0.365853659
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.49,360,564,55,14.3,4,2297,8.9,1433,81.3,2.81,31,40,0,2458,230,0.37804878
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.48,341,544,52,14.6,8,2272,8.9,1146,83.3,2.7,33,43,0,2141,221,0.402439024
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,2.48,355,558,56,16.1,8,2246,9,954,87.4,2.35,40,33,0,2377,193,0.487804878
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.41,327,525,52,14.2,9,2086,9.5,1063,86,2.17,42,30,0,2335,178,0.512195122
